,weights
AAPL,0.13738374070113138
AGG,5.305204002267314e-06
AMZN,7.668088965359069e-08
BND,3.7758666758819714e-06
BNDX,2.230975206107435e-06
BRK-B,3.315501923675888e-07
FBND,1.7354255488965537e-06
GOOG,1.2917233637754102e-07
ICVT,1.6305641395035595e-07
LKOR,1.6055105267880751e-07
LQD,3.278744483792246e-07
META,7.38736809231188e-08
MSFT,2.4671791919793243e-07
NVDA,0.31706294691897874
TLT,0.20301587803849255
TMF,1.0880329064732908e-07
UNH,0.13464686515493887
VCIT,9.54281394546536e-07
XLB,1.3849401166209597e-07
XLC,7.428970418774834e-08
XLE,1.7458034292451427e-07
XLF,8.344895705052283e-08
XLI,1.1312869523576643e-07
XLK,1.031347584285285e-07
XLP,9.038451659941068e-07
XLRE,8.213093566894459e-08
XLU,1.9213298770479255e-07
XLV,3.441776112943587e-07
XLY,7.328040984240784e-08
XOM,0.20787266650982647
